id,num__accommodates,num__bedrooms,num__beds,num__price,num__availability_30,num__availability_60,num__availability_90,num__availability_365,num__number_of_reviews,num__number_of_reviews_ltm,num__number_of_reviews_l30d,num__review_scores_rating,num__review_scores_accuracy,num__review_scores_cleanliness,num__review_scores_checkin,num__review_scores_communication,num__review_scores_location,num__review_scores_value,num__reviews_per_month,num__bath_number,bool__host_has_profile_pic_t,bool__host_identity_verified_t,bool__has_availability_t,bool__instant_bookable_t
797324941076477082,4.216763498960159,3.2684357906343555,2.7786389172107406,1.960384632945253,-0.11852443963351827,-0.033418548207531464,0.251360215863084,0.9109102858458149,-0.11011305933300988,1.6670575264610015,2.5180603734962417,-0.5369419598640409,-0.6209755768509796,-0.7580063818952002,-0.13402306386350066,-0.23478657714674775,-1.6292493169498792,-0.37157927715832184,1.8904877642764728,2.1015954787593514,1.0,1.0,1.0,1.0
797385730028944765,0.7407794828221241,1.1912500176400642,0.549934610958388,0.15596220399400199,-0.9841626005420826,-1.2648100144592076,-1.4298146534404264,-1.379145955360306,-0.4591998264013646,0.047934602921692764,-0.2528682914427752,0.3046629890638256,0.0805808255416265,-0.9644300891334867,0.12366593827176937,0.31365206259033207,-0.4029336542144953,-0.2334161820719196,0.08099668995448993,1.4168771565351614,1.0,0.0,1.0,1.0
797646651705151980,-0.9972125252468933,-0.8859357553542272,-0.9358682598765137,-1.2005539482672223,-0.4431387499742299,-1.0082701256567752,-1.2649935878224352,0.3145414730317209,-0.6187823484897553,-0.6922358764105626,-0.714689735599278,0.4988795157394853,0.4480627506044213,-2.891051356690811,0.3445422258162842,0.31365206259033207,0.5508674168019169,0.6784602454983385,-0.8261111070946503,-0.637277810137409,1.0,1.0,1.0,0.0
797859448869434439,-0.9972125252468933,-0.8859357553542272,-0.9358682598765137,0.9621935020360504,2.0455709626378926,0.5822771849183066,-0.24310298099088967,-1.092888925209541,-0.6287562561202797,-0.7384965313688286,-0.714689735599278,-2.7380625955215314,-2.8926820226937036,0.5493437639472704,-3.336729233258987,0.31365206259033207,0.5508674168019169,-2.0848016562297156,-0.5568134798456867,-0.637277810137409,1.0,1.0,1.0,0.0
799996340749040096,-0.12821652121238458,0.15265713114291848,-0.19296682445906282,0.974990824227194,-0.9841626005420826,-1.213502036698721,-1.3968504403168283,0.012381274539246609,-0.5988345332287065,-0.5997145664940308,-0.714689735599278,0.4988795157394853,0.4480627506044213,0.5493437639472704,0.3445422258162842,0.31365206259033207,0.5508674168019169,0.6784602454983385,-0.698549073134615,0.7321588343109712,1.0,1.0,1.0,0.0
800074628936421552,-0.12821652121238458,0.15265713114291848,-0.19296682445906282,1.1925453014766356,-0.22672920974708882,-0.289958437009964,-0.7046019647212651,-0.7668739742045029,-0.42927810350979134,0.18671656779649065,-0.2528682914427752,0.1751853046133848,0.4480627506044213,0.3773240079153669,-0.17083577845425257,0.31365206259033207,0.3805457969775583,0.015277389083604887,0.46368279183459604,0.7321588343109712,1.0,1.0,1.0,1.0
800702106393469895,-0.562714523229639,-0.8859357553542272,-0.9358682598765137,-0.9318101822532061,0.747113721275046,1.0953569625231716,1.07546554395304,-0.7748255583753575,-0.6287562561202797,-0.7384965313688286,-0.714689735599278,0.4988795157394853,0.4480627506044213,0.5493437639472704,0.3445422258162842,0.31365206259033207,0.5508674168019169,0.6784602454983385,-0.8450091861998408,-0.637277810137409,1.0,1.0,1.0,0.0
800726495848834830,-0.12821652121238458,0.15265713114291848,-0.19296682445906282,-0.04879495106429601,-0.7677530603149415,-1.1621940589382347,-0.6386735384740686,0.09189711624779248,-0.6088084408592309,-0.6459752214522967,-0.2528682914427752,0.4988795157394853,0.4480627506044213,0.5493437639472704,0.3445422258162842,0.31365206259033207,0.5508674168019169,-0.2334161820719196,-0.6229567567138533,1.4168771565351614,1.0,1.0,1.0,0.0
800964708635050110,-0.12821652121238458,0.15265713114291848,-0.19296682445906282,-0.4967012277543229,0.20608987070719334,0.22312134059490107,0.15246757649228926,-0.32158526063664605,-0.29961730431297384,0.7881050822539482,2.056238929339739,-0.08377006428749675,-0.25349365178818484,0.13649634947070022,0.3445422258162842,0.2168687732249642,-0.062290414565775165,-0.12288570600279733,1.3424434702259507,-0.637277810137409,1.0,1.0,1.0,0.0
801299987246393350,-0.12821652121238458,-0.8859357553542272,1.2928360463758388,-1.0981753707380733,-0.010319669519947738,-0.392574392530937,-0.8694230303392563,-0.6794065483251025,-0.33951293483507156,0.6030624624208843,-0.2528682914427752,-0.051400643174887274,0.11398827327461,-0.7236024306888201,0.23410408204402516,0.31365206259033207,0.5508674168019169,0.31923619827369176,0.9125121705828685,-0.637277810137409,1.0,0.0,1.0,1.0
