,,0,1,2,3,4,,,
num__accommodates,count,641,1202,78,983,661,,,
num__accommodates,mean,-0.261073945,-0.383420839,-0.284190163,-0.329332077,1.4737072774503215,,,
num__accommodates,std,0.6504033456362119,0.5828765703797456,0.8575627852888458,0.6018911782659805,1.0335064184330247,,,
num__accommodates,min,-1.431710527,-1.431710527,-1.431710527,-1.431710527,-0.128216521,,,
num__accommodates,25%,-0.997212525,-0.997212525,-0.997212525,-0.997212525,0.7407794828221241,,,
num__accommodates,50%,-0.128216521,-0.128216521,-0.562714523,-0.128216521,1.1752774848393786,,,
num__accommodates,75%,-0.128216521,-0.128216521,-0.128216521,-0.128216521,2.044273488873887,,,
num__accommodates,max,2.4787714908911416,1.609775486856633,3.3477674949256504,1.609775486856633,5.085759502994668,,,
num__bedrooms,count,641,1202,78,983,661,,,
num__bedrooms,mean,-0.399854841,-0.315660127,-0.180225204,-0.34286684,1.4929290406467994,,,
num__bedrooms,std,0.6381147358918002,0.6480566115530795,0.9972176154449214,0.6050132713146341,0.9131799169832748,,,
num__bedrooms,min,-0.885935755,-0.885935755,-0.885935755,-0.885935755,-0.885935755,,,
num__bedrooms,25%,-0.885935755,-0.885935755,-0.885935755,-0.885935755,1.1912500176400642,,,
num__bedrooms,50%,-0.885935755,-0.885935755,-0.885935755,-0.885935755,1.1912500176400642,,,
num__bedrooms,75%,0.1526571311429184,0.1526571311429184,0.1526571311429184,0.1526571311429184,2.229842904,,,
num__bedrooms,max,4.307028677131501,1.1912500176400642,3.2684357906343555,1.1912500176400642,8.461400223120084,,,
num__beds,count,641,1202,78,983,661,,,
num__beds,mean,-0.249756482,-0.378383156,-0.221539957,-0.316153939,1.426580782857952,,,
num__beds,std,0.6482149548342234,0.5692364297547726,1.0604153691709128,0.5806852167081646,1.1213004071557602,,,
num__beds,min,-0.93586826,-0.93586826,-0.93586826,-0.93586826,-0.93586826,,,
num__beds,25%,-0.93586826,-0.93586826,-0.93586826,-0.93586826,0.549934611,,,
num__beds,50%,-0.192966824,-0.192966824,-0.93586826,-0.192966824,1.2928360463758388,,,
num__beds,75%,-0.192966824,-0.192966824,-0.192966824,-0.192966824,2.035737482,,,
num__beds,max,4.264441788045642,2.035737482,5.007343223463093,2.035737482,8.721850400550347,,,
num__price,count,641,1202,78,983,661,,,
num__price,mean,-0.281402753,-0.342260333,-0.415159316,-0.195345771,1.2347706565430263,,,
num__price,std,0.638238596,0.7740974458863391,0.7901140650599539,0.7983136515890636,1.0003062018126456,,,
num__price,min,-1.507689681,-1.789230769,-1.379716459,-1.571676292,-1.507689681,,,
num__price,25%,-0.752647672,-0.91901286,-0.941408174,-0.80383696,0.4503006143903054,,,
num__price,50%,-0.39432265,-0.528694533,-0.739850349,-0.381525328,1.2309372680500663,,,
num__price,75%,0.002394338,0.002394338,-0.192764826,0.25194212042757913,2.024371243900972,,,
num__price,max,2.5362641315467163,3.048157019192461,2.3954935874441365,3.048157019192461,3.188927563295041,,,
num__availability_30,count,641,1202,78,983,661,,,
num__availability_30,mean,-0.103669495,-0.816364188,0.40307804193959096,0.9242261069441559,0.16303714069226286,,,
num__availability_30,std,0.6070856398680654,0.35265988617625016,1.3587419588400982,0.8822504092611396,0.9497765490487622,,,
num__availability_30,min,-0.984162601,-0.984162601,-0.984162601,-0.984162601,-0.984162601,,,
num__availability_30,25%,-0.55134352,-0.984162601,-0.984162601,0.2060898707071933,-0.76775306,,,
num__availability_30,50%,-0.22672921,-0.984162601,-0.11852444,0.9635232615021871,0.097885101,,,
num__availability_30,75%,0.3142946408207639,-0.87595783,1.7209566522971809,1.6127518821836104,0.8553184913886166,,,
num__availability_30,max,2.0455709626378926,1.3963423419564691,2.261980502865033,2.261980502865033,2.261980502865033,,,
num__availability_60,count,641,1202,78,983,661,,,
num__availability_60,mean,0.073039502,-0.939802575,0.2671935779019857,0.9785438859942105,0.1513988421823602,,,
num__availability_60,std,0.629772789,0.4651735221928641,1.2901202830515417,0.5686530106438241,0.936249413,,,
num__availability_60,min,-1.264810014,-1.264810014,-1.264810014,-0.546498326,-1.264810014,,,
