id,num__accommodates,num__bedrooms,num__beds,num__price,num__availability_30,num__availability_60,num__availability_90,num__availability_365,num__number_of_reviews,num__number_of_reviews_ltm,num__number_of_reviews_l30d,num__review_scores_rating,num__review_scores_accuracy,num__review_scores_cleanliness,num__review_scores_checkin,num__review_scores_communication,num__review_scores_location,num__review_scores_value,num__reviews_per_month,num__bath_number,bool__host_has_profile_pic_t,bool__host_identity_verified_t,bool__has_availability_t,bool__instant_bookable_t
884738363520197003,2.0472654117868605,2.7709692947442197,1.59279608926992,-0.00752983357456511,0.9252014793668994,0.09824562044295408,0.3314754386289956,1.2248057270192492,-0.5811224398349206,-0.5073485367625069,-0.7177785407250209,-0.07026105537265888,0.4471608749116938,0.5514322093382789,0.34426767491211996,0.3127251156311649,0.5496620168400637,-0.2516050951006881,-0.297385108687616,1.6408432316581063,1.0,0.0,1.0,0.0
884988588105232133,-0.9840468904920046,-0.8929956371720654,-0.89428118527813,-0.06161692012434716,-0.3593091549423189,-0.31011443670254185,0.10120100332273178,-0.256915402136342,-0.3265128409925004,0.672560483951621,0.691972429861769,0.1629376960489594,0.2406958681908154,0.0931238484363937,0.11693567890729456,0.3127251156311649,-0.46308668754445753,0.23102529800363372,2.2772635477414576,-0.6600678493322124,1.0,1.0,1.0,1.0
885678404862774102,0.15269522286256978,0.022995595807005935,0.349257451995895,-0.06584982254998228,2.1026695608170165,1.7316858490249378,1.4828476151603147,1.5021332110858034,-0.6320443596034047,-0.7433303409053325,-0.7177785407250209,0.4960787695084116,0.4471608749116938,0.5514322093382789,0.34426767491211996,0.3127251156311649,0.5496620168400637,0.6852656679841725,-0.8267521221590142,1.0656154614105267,1.0,1.0,1.0,0.0
885716303784245711,0.5316092606474279,0.9389868287860773,0.349257451995895,-0.04092273048790881,0.2829461622122903,0.761830713304385,0.5946462218361542,-0.256915402136342,-0.4283566805294685,0.20059687566596984,3.0415573808397522,0.4960787695084116,0.27510670264429465,0.3751597628375543,-0.18617364909914155,0.3127251156311649,-0.7773880095948256,0.14585522863228206,2.132890725885622,0.490387691162947,1.0,1.0,1.0,0.0
885775865782358103,4.320749638496009,3.6869605277232913,4.701642682454983,-0.0540917602565514,-1.0015644720969281,-1.2799695724230946,-1.4449273480193252,0.7335398981013526,-0.6218599756497079,-0.6961339800767673,-0.7177785407250209,-1.1696265977888551,-1.273380847762304,-1.2112922556689734,-1.550165625128104,-1.3524481635455836,-1.1964564389953174,-0.73423548820501,-0.5765058976088987,0.490387691162947,1.0,1.0,1.0,0.0
886252672254756595,1.289437336217144,1.8549780617651486,2.8363347265439454,0.01833790347098283,-1.0015644720969281,-1.2799695724230946,-1.4449273480193252,-0.9858905031112852,-0.611675591696011,-0.6489376192482023,-0.7177785407250209,-2.835331965086122,-0.6883966620531451,-7.6628637975955165,0.34426767491211996,-3.017621442722332,-0.6027761640112881,-3.090607407479053,-0.4754449223098135,1.6408432316581063,1.0,1.0,1.0,0.0
887011723316210444,1.289437336217144,1.8549780617651486,0.9710267706329074,13.355272801663762,0.818158926507798,0.9149657347339459,0.9565060487459973,-0.7798758006618447,-0.6320443596034047,-0.7433303409053325,-0.7177785407250209,0.4960787695084116,0.4471608749116938,0.5514322093382789,0.34426767491211996,0.3127251156311649,0.5496620168400637,0.6852656679841725,-0.8123148399734306,2.216071001905686,1.0,1.0,1.0,0.0
887047351292849890,0.5316092606474279,0.9389868287860773,0.349257451995895,-0.04092273048790881,-0.7874793663787251,-0.7695195009912248,-0.8198967379023234,-1.2315234175702334,-0.48946298425164936,-0.08258128930542084,0.691972429861769,0.4960787695084116,0.4471608749116938,0.30465078423726255,0.34426767491211996,0.3127251156311649,0.30520543302310926,0.6852656679841725,1.3629023426544968,0.490387691162947,1.0,1.0,1.0,0.0
887229502875204751,0.5316092606474279,0.9389868287860773,0.349257451995895,-0.03292724812837581,-0.3593091549423189,0.45556067044526305,0.6604389176379438,-0.16183169331352334,-0.5200161361127398,-0.22417037179111618,-0.7177785407250209,-0.07026105537265888,0.4471608749116938,-0.3299300231653472,0.34426767491211996,0.04629739096288492,-0.044018258143965684,0.4581454829939031,0.6458506607705119,-0.08484007908463269,1.0,0.0,1.0,0.0
887784197039085490,-0.9840468904920046,-0.8929956371720654,-0.89428118527813,-0.045625955405281166,-0.3593091549423189,0.40451566330207606,0.627542569737049,-0.114289838902114,-0.44872544843686213,0.10620415400883962,-0.7177785407250209,0.3295082327786855,0.4471608749116938,0.5514322093382789,0.34426767491211996,0.3127251156311649,0.16551595655627868,0.6852656679841725,1.054906989362047,-0.6600678493322124,1.0,1.0,1.0,1.0
